kind,ordinal,begin_ns,end_ns
1,0,73482542505931,73482553498229
0,0,73482542503721,73482570253284
1,1,73484793376536,73484793377386
0,1,73484793375816,73484802953302
1,2,73484824370320,73484824370550
0,2,73484824370250,73484839254735
1,3,73484846599304,73484855228225
0,3,73484846599274,73484870693396
1,4,73484905202540,73484905202700
0,4,73484905202460,73484922121124
1,5,73484927506903,73484937559416
0,5,73484927506883,73484952999688
1,6,73484958400338,73484968435580
0,6,73484958400288,73484988926814
1,7,73484994667791,73485004420436
0,7,73484994667711,73485019859468
1,8,73485026313311,73485035688308
0,8,73485026313271,73485051517028
1,9,73485058360039,73485072414069
0,9,73485058360019,73485088240479
1,10,73485095302229,73485104064049
0,10,73485095302199,73485119885129
1,11,73485125160349,73485135656579
0,11,73485125160269,73485151550059
1,12,73485157508095,73485172468250
0,12,73485157508065,73485188318600
1,13,73485195456639,73485204139590
0,13,73485195456609,73485219961220
1,14,73485228367772,73485235795569
0,14,73485228367752,73485251624819
1,15,73485261441424,73485272525270
0,15,73485261441354,73485288353610
1,16,73485297158620,73485304177610
0,16,73485297158600,73485320002290
1,17,73485327365249,73485335829780
0,17,73485327365219,73485351657790
1,18,73485358389772,73485372557061
0,18,73485358389752,73485388356962
1,19,73485395075343,73485404272611
0,19,73485395075313,73485419767523
1,20,73485428005346,73485435229285
0,20,73485428005316,73485455720668
1,21,73485464454539,73485471154201
0,21,73485464454499,73485486588633
1,22,73485494317359,73485502021185
0,22,73485494317339,73485522506448
1,23,73485529456429,73485537941281
0,23,73485529456409,73485553395273
1,24,73485560442453,73485568826915
0,24,73485560442433,73485589315438
1,25,73485597181844,73485604747910
0,25,73485597181824,73485620183793
1,26,73485628122427,73485635639725
0,26,73485628122357,73485656123948
1,27,73485665216057,73485671556270
0,27,73485665216027,73485686988263
1,28,73485695138406,73485702466235
0,28,73485695138366,73485717958196
1,29,73485726085920,73485738496980
0,29,73485726085890,73485753969572
1,30,73485761190800,73485769393114
0,30,73485761190730,73485785236624
1,31,73485792062975,73485806117675
0,31,73485792062945,73485821927315
1,32,73485828573867,73485837475306
0,32,73485828573837,73485853290027
1,33,73485861173132,73485868743969
0,33,73485861173062,73485889258762
1,34,73485899444874,73485904709164
0,34,73485899444844,73485920158266
1,35,73485929187385,73485935594758
0,35,73485929187355,73485956079172
1,36,73485962470695,73485971570164
0,36,73485962470665,73485987003936
1,37,73485993361000,73486002485828
0,37,73485993360970,73486017923310
1,38,73486024304884,73486038466073
0,38,73486024304664,73486053983235
1,39,73486061280553,73486069412797
0,39,73486061280373,73486084904649
1,40,73486092996673,73486105427252
0,40,73486092996633,73486120913724
1,41,73486128437331,73486136382126
0,41,73486128437301,73486151859668
1,42,73486159388155,73486172380251
0,42,73486159388075,73486188206761
1,43,73486195199751,73486204030331
0,43,73486195199721,73486219850361
1,44,73486227548057,73486235706141
0,44,73486227547977,73486251549801
1,45,73486259337676,73486272467592
0,45,73486259337647,73486287932794
1,46,73486295272262,73486303389976
0,46,73486295272242,73486318879348
1,47,73486325612129,73486339385901
0,47,73486325612079,73486354871833
1,48,73486362478460,73486370312045
0,48,73486362478440,73486385754077
1,49,73486393401004,73486401575867
0,49,73486393400974,73486422482888
1,50,73486430514543,73486438312008
0,50,73486430514513,73486454134338
1,51,73486462276612,73486469958488
0,51,73486462276582,73486485784418
1,52,73486493566264,73486501610058
0,52,73486493566224,73486522510149
1,53,73486530099056,73486538334199
0,53,73486530099006,73486554145119
1,54,73486561222639,73486570070889
0,54,73486561222569,73486585894079
1,55,73486594449690,73486601708549
0,55,73486594449490,73486622617950
1,56,73486631388200,73486638422210
0,56,73486631387890,73486653867552
1,57,73486661264800,73486669667812
0,57,73486661264730,73486685465532
1,58,73486692250854,73486705981166
0,58,73486692250824,73486721437128
1,59,73486728371408,73486736893650
0,59,73486728371388,73486752367062
1,60,73486759478701,73486772875145
0,60,73486759478661,73486788198758
1,61,73486793512388,73486803664700
0,61,73486793512338,73486819061252
1,62,73486824300982,73486834564684
0,62,73486824300962,73486855108617
1,63,73486861539181,73486870629929
0,63,73486861539151,73486886477109
1,64,73486892088717,73486902009800
0,64,73486892088687,73486922878892
1,65,73486928301471,73486938339784
0,65,73486928301451,73486953802986
1,66,73486959241835,73486969260388
0,66,73486959241805,73486984749580
1,67,73486990649926,73487005331643
0,67,73486990649896,73487021140363
# complete
