sample,x,y,tangent_x_q12,tangent_y_q12
0,0,0,4096,0
1,64,0,4096,0
2,128,0,4096,0
3,192,0,4096,0
4,256,0,4096,0
5,320,0,4096,0
6,384,0,4096,0
7,448,0,4096,0
8,512,0,4096,0
9,576,0,4096,0
10,640,0,4096,0
11,704,0,4096,0
12,768,0,4096,0
13,832,0,4096,0
14,896,0,4096,0
15,960,0,4096,0
16,1024,0,4096,0
17,1088,0,4096,0
18,1152,0,4096,0
19,1216,0,4096,0
20,1280,0,4096,0
21,1344,0,4096,0
22,1408,0,4096,0
23,1472,0,4096,0
24,1536,0,4096,0
25,1600,0,4096,0
26,1664,0,4096,0
27,1728,0,4096,0
28,1792,0,4096,0
29,1856,0,4096,0
30,1920,0,4096,0
31,1984,0,4096,0
32,2048,0,4096,0
33,2112,0,4096,0
34,2176,0,4096,0
35,2240,0,4096,0
36,2304,0,4096,0
37,2368,0,4096,0
38,2432,0,4096,0
39,2496,0,4096,0
40,2560,0,4096,0
41,2624,0,4096,0
42,2688,0,4096,0
43,2752,0,4096,0
44,2816,0,4096,0
45,2880,0,4096,0
46,2944,0,4096,0
47,3008,0,4096,0
48,3072,0,4096,0
49,3136,0,4096,0
50,3200,0,4096,0
51,3264,0,4096,0
52,3328,0,4096,0
53,3392,0,4096,0
54,3456,0,4096,0
55,3520,0,4096,0
56,3584,0,4096,0
57,3648,0,4096,0
58,3712,0,4096,0
59,3776,0,4096,0
60,3840,0,4096,0
61,3904,0,4096,0
62,3968,0,4096,0
63,4032,0,4096,0
64,4096,0,4096,0
65,4160,0,4096,0
66,4224,0,4096,0
67,4288,0,4096,0
68,4352,0,4096,0
69,4416,0,4096,0
70,4480,0,4096,0
71,4544,0,4096,0
72,4608,0,4096,0
73,4672,0,4096,0
74,4736,0,4096,0
75,4800,0,4096,0
76,4864,0,4096,0
77,4928,0,4096,0
78,4992,0,4096,0
79,5056,0,4096,0
80,5120,0,4096,0
81,5184,1,4089,246
82,5248,8,4046,638
83,5310,21,3959,1052
84,5371,41,3820,1479
85,5429,68,3627,1903
86,5484,100,3381,2312
87,5535,140,3085,2694
88,5580,184,2747,3038
89,5620,234,2375,3337
90,5654,289,1974,3589
91,5682,346,1551,3791
92,5703,407,1109,3943
93,5716,469,652,4044
94,5723,533,179,4092
95,5722,597,-305,4085
96,5713,660,-795,4018
97,5697,722,-1285,3889
98,5673,781,-1764,3697
99,5642,837,-2218,3444
100,5604,889,-2632,3138
101,5560,935,-2995,2794
102,5511,976,-3299,2428
103,5457,1011,-3543,2056
104,5401,1040,-3730,1692
105,5341,1064,-3868,1347
106,5280,1082,-3966,1026
107,5217,1097,-4010,837
108,5155,1108,-4040,676
109,5091,1118,-4059,549
110,5028,1126,-4072,447
111,4964,1132,-4080,366
112,4900,1137,-4085,302
113,4836,1142,-4088,251
114,4773,1145,-4091,212
115,4709,1148,-4092,182
116,4645,1151,-4093,161
117,4581,1153,-4093,147
118,4517,1155,-4094,141
119,4453,1158,-4094,141
120,4389,1160,-4093,147
121,4325,1162,-4093,158
122,4261,1165,-4092,176
123,4197,1168,-4091,198
124,4133,1171,-4090,227
125,4069,1175,-4088,261
126,4005,1179,-4085,302
127,3942,1184,-4081,348
128,3878,1190,-4076,401
129,3814,1197,-4070,461
130,3751,1205,-4062,529
131,3687,1214,-4051,605
132,3624,1224,-4038,689
133,3561,1235,-4020,784
134,3498,1248,-3998,889
135,3436,1263,-3971,1006
136,3374,1280,-3935,1136
137,3313,1299,-3891,1279
138,3253,1320,-3836,1437
139,3193,1343,-3766,1611
140,3135,1370,-3680,1800
141,3079,1400,-3573,2003
142,3024,1433,-3442,2220
143,2971,1469,-3283,2449
144,2921,1509,-3096,2681
145,2875,1553,-2879,2914
146,2831,1600,-2633,3138
147,2792,1651,-2365,3345
148,2758,1705,-2081,3528
149,2726,1760,-1993,3578
150,2695,1817,-1884,3637
151,2667,1874,-1798,3680
152,2639,1931,-1729,3713
153,2613,1990,-1674,3739
154,2587,2048,-1628,3759
155,2562,2107,-1591,3774
156,2537,2166,-1561,3787
157,2513,2225,-1537,3797
158,2489,2285,-1518,3804
159,2465,2344,-1503,3810
160,2442,2404,-1492,3815
161,2419,2464,-1485,3817
162,2396,2523,-1481,3819
163,2372,2583,-1480,3819
164,2349,2643,-1482,3818
165,2326,2702,-1487,3817
166,2303,2762,-1494,3814
167,2279,2821,-1504,3810
168,2256,2881,-1517,3805
169,2232,2940,-1533,3798
170,2208,3000,-1551,3791
171,2183,3059,-1572,3782
172,2159,3118,-1596,3772
173,2134,3177,-1624,3760
174,2108,3235,-1654,3747
175,2082,3294,-1689,3732
176,2055,3352,-1727,3714
177,2028,3410,-1770,3694
178,2000,3467,-1818,3670
179,1971,3524,-1871,3644
180,1941,3581,-1931,3612
181,1911,3637,-1997,3576
182,1879,3693,-2071,3534
183,1846,3748,-2154,3484
184,1811,3802,-2248,3424
185,1776,3855,-2353,3352
186,1738,3906,-2473,3265
187,1698,3957,-2608,3158
188,1656,4005,-2921,2872
189,1608,4047,-3225,2525
190,1555,4083,-3477,2165
191,1499,4114,-3686,1786
192,1440,4139,-3851,1395
193,1379,4158,-3972,1000
194,1316,4170,-4051,605
195,1253,4177,-4090,214
196,1189,4177,-4092,-172
197,1125,4171,-4058,-554
198,1062,4160,-3989,-930
199,1001,4142,-3884,-1302
200,941,4119,-3741,-1667
201,884,4090,-3560,-2025
202,830,4056,-3339,-2373
203,780,4016,-3077,-2704
204,734,3972,-2774,-3013
205,693,3922,-2436,-3293
206,658,3869,-2069,-3535
207,629,3812,-1683,-3734
208,606,3752,-1289,-3888
209,588,3691,-900,-3996
210,577,3628,-524,-4062
211,572,3564,-170,-4092
212,569,3500,-271,-4087
213,566,3436,-100,-4095
214,566,3372,37,-4096
215,567,3308,150,-4093
216,570,3244,244,-4089
217,575,3180,323,-4083
218,580,3117,390,-4077
219,587,3053,448,-4071
220,594,2989,498,-4066
221,602,2926,541,-4060
222,611,2863,579,-4055
223,620,2799,612,-4050
224,630,2736,640,-4046
225,640,2673,665,-4042
226,651,2610,686,-4038
227,662,2547,703,-4035
228,673,2484,718,-4033
229,684,2421,729,-4031
230,696,2358,737,-4029
231,707,2295,743,-4028
232,719,2232,745,-4028
233,730,2169,743,-4028
234,742,2106,738,-4029
235,753,2043,729,-4031
236,765,1980,714,-4033
237,776,1917,694,-4037
238,786,1854,667,-4041
239,797,1791,631,-4047
240,806,1727,582,-4054
241,815,1664,516,-4063
242,822,1600,424,-4074
243,828,1536,291,-4086
244,831,1473,83,-4095
245,829,1409,-438,-4073
246,816,1346,-1236,-3905
247,789,1288,-2241,-3429
248,746,1241,-3243,-2501
249,689,1212,-3889,-1286
250,627,1201,-4094,-142
251,563,1206,-4021,780
252,502,1224,-3810,1505
253,444,1252,-3524,2087
254,392,1289,-3190,2569
255,345,1332,-2818,2973
256,304,1381,-2412,3310
257,270,1435,-1980,3586
258,237,1490,-2154,3484
259,204,1545,-2102,3516
260,171,1600,-2065,3538
261,139,1656,-2037,3553
262,107,1711,-2017,3565
263,76,1767,-2003,3573
264,45,1823,-1993,3579
265,14,1879,-1987,3582
266,-17,1935,-1983,3584
267,-48,1991,-1983,3584
268,-79,2047,-1985,3583
269,-110,2103,-1989,3581
270,-141,2159,-1994,3578
271,-173,2215,-2002,3574
272,-204,2270,-2011,3568
273,-235,2326,-2022,3562
274,-267,2382,-2034,3555
275,-299,2437,-2047,3548
276,-331,2492,-2063,3539
277,-363,2548,-2079,3529
278,-396,2603,-2097,3518
279,-429,2658,-2117,3507
280,-462,2712,-2138,3494
281,-496,2767,-2161,3480
282,-530,2821,-2185,3464
283,-564,2875,-2211,3448
284,-599,2929,-2239,3430
285,-634,2982,-2269,3410
286,-670,3035,-2301,3388
287,-706,3088,-2336,3365
288,-743,3140,-2372,3339
289,-780,3192,-2412,3310
290,-818,3244,-2455,3279
291,-857,3295,-2500,3245
292,-896,3345,-2549,3206
293,-937,3395,-2602,3164
294,-978,3444,-2658,3116
295,-1020,3492,-2720,3063
296,-1063,3540,-2786,3002
297,-1107,3586,-2858,2934
298,-1152,3631,-2936,2856
299,-1199,3675,-3021,2766
300,-1246,3718,-3112,2663
301,-1296,3759,-3211,2543
302,-1347,3797,-3317,2402
303,-1400,3833,-3430,2238
304,-1454,3867,-3550,2043
305,-1510,3898,-3543,2056
306,-1566,3930,-3579,1992
307,-1622,3960,-3653,1854
308,-1680,3988,-3718,1719
309,-1738,4014,-3774,1592
310,-1798,4037,-3824,1468
311,-1858,4059,-3867,1350
312,-1918,4080,-3905,1237
313,-1980,4098,-3937,1129
314,-2041,4115,-3966,1025
315,-2104,4130,-3990,925
316,-2166,4144,-4011,829
317,-2229,4156,-4029,737
318,-2292,4167,-4044,649
319,-2355,4176,-4057,563
320,-2419,4185,-4068,481
321,-2482,4191,-4076,401
322,-2546,4197,-4083,323
323,-2610,4202,-4088,248
324,-2674,4205,-4092,174
325,-2738,4207,-4095,102
326,-2802,4208,-4096,31
327,-2866,4208,-4096,-38
328,-2930,4207,-4095,-106
329,-2994,4205,-4092,-174
330,-3058,4201,-4089,-242
331,-3122,4197,-4084,-309
332,-3185,4192,-4079,-377
333,-3249,4185,-4072,-445
334,-3313,4178,-4064,-513
335,-3376,4169,-4054,-584
336,-3439,4160,-4043,-655
337,-3502,4149,-4031,-728
338,-3565,4137,-4016,-805
339,-3628,4124,-3999,-884
340,-3690,4109,-3980,-968
341,-3752,4093,-3957,-1058
342,-3814,4076,-3930,-1154
343,-3875,4057,-3898,-1259
344,-3935,4036,-3860,-1371
345,-3996,4015,-3855,-1384
346,-4056,3993,-3850,-1399
347,-4116,3971,-3843,-1418
348,-4176,3949,-3835,-1440
349,-4236,3926,-3825,-1464
350,-4296,3903,-3814,-1493
351,-4355,3879,-3802,-1525
352,-4414,3855,-3787,-1561
353,-4473,3831,-3770,-1602
354,-4532,3805,-3750,-1647
355,-4591,3779,-3728,-1698
356,-4649,3752,-3702,-1753
357,-4706,3724,-3672,-1815
358,-4763,3695,-3638,-1882
359,-4820,3665,-3600,-1954
360,-4876,3634,-3556,-2033
361,-4931,3602,-3506,-2117
362,-4985,3568,-3450,-2207
363,-5039,3533,-3387,-2303
364,-5091,3496,-3317,-2403
365,-5142,3458,-3239,-2507
366,-5192,3418,-3153,-2615
367,-5241,3376,-3059,-2724
368,-5288,3333,-2957,-2834
369,-5333,3288,-2849,-2943
370,-5377,3241,-2734,-3050
371,-5419,3192,-2614,-3154
372,-5459,3142,-2489,-3253
373,-5496,3091,-2363,-3346
374,-5532,3038,-2234,-3433
375,-5566,2983,-2106,-3513
376,-5598,2928,-1980,-3586
377,-5628,2871,-1856,-3651
378,-5656,2814,-1736,-3710
