sample,x,y,tangent_x_q12,tangent_y_q12
0,0,0,4096,0
1,64,-1,4094,-125
2,128,-4,4088,-255
3,192,-9,4078,-382
4,255,-16,4066,-494
5,319,-24,4054,-588
6,382,-34,4042,-662
7,445,-45,4033,-717
8,508,-56,4024,-765
9,571,-69,4005,-857
10,633,-83,3980,-969
11,695,-99,3944,-1107
12,756,-118,3893,-1275
13,817,-139,3819,-1480
14,876,-165,3713,-1730
15,932,-194,3558,-2030
16,986,-228,3332,-2382
17,1036,-268,3011,-2777
18,1080,-315,2576,-3185
19,1116,-368,2036,-3554
20,1143,-426,1437,-3836
21,1161,-487,848,-4007
22,1170,-550,319,-4084
23,1171,-614,-135,-4094
24,1165,-678,-634,-4047
25,1151,-740,-1213,-3912
26,1127,-800,-1837,-3661
27,1094,-854,-2441,-3289
28,1051,-902,-2960,-2831
29,1002,-943,-3354,-2351
30,947,-976,-3631,-1896
31,889,-1002,-3814,-1493
32,828,-1023,-3932,-1146
33,766,-1038,-4007,-851
34,703,-1049,-4052,-600
35,640,-1057,-4078,-386
36,576,-1062,-4091,-200
37,512,-1063,-4096,-38
38,448,-1063,-4096,0
39,384,-1063,-4096,0
40,320,-1063,-4096,0
41,256,-1063,-4096,0
42,192,-1063,-4096,0
43,128,-1063,-4096,0
44,64,-1063,-4096,0
45,0,-1063,-4096,0
46,-64,-1063,-4096,0
47,-128,-1063,-4096,0
48,-192,-1063,-4096,0
49,-256,-1063,-4096,0
50,-320,-1063,-4096,0
51,-384,-1063,-4096,0
52,-448,-1063,-4096,0
53,-512,-1063,-4096,38
54,-576,-1062,-4091,200
55,-640,-1057,-4078,386
56,-703,-1049,-4052,600
57,-766,-1038,-4007,851
58,-828,-1023,-3932,1146
59,-889,-1002,-3814,1493
60,-947,-976,-3631,1896
61,-1002,-943,-3354,2351
62,-1051,-902,-2960,2831
63,-1094,-854,-2441,3289
64,-1127,-800,-1837,3661
65,-1151,-740,-1213,3912
66,-1165,-678,-634,4047
67,-1171,-614,-135,4094
68,-1170,-550,319,4084
69,-1161,-487,848,4007
70,-1143,-426,1437,3836
71,-1116,-368,2036,3554
72,-1080,-315,2576,3185
73,-1036,-268,3011,2777
74,-986,-228,3332,2382
75,-932,-194,3558,2030
76,-876,-165,3713,1730
77,-817,-139,3819,1480
78,-756,-118,3893,1275
79,-695,-99,3944,1107
80,-633,-83,3980,969
81,-571,-69,4005,857
82,-508,-56,4024,765
83,-445,-45,4033,717
84,-382,-34,4042,662
85,-319,-24,4054,588
86,-255,-16,4066,494
87,-192,-9,4078,382
88,-128,-4,4088,255
89,-64,-1,4094,125
